Country Name,Country Code,year,port_traffic
East Asia & Pacific (excluding high income),EAP,2000,56840499.0
East Asia & Pacific,EAS,2000,111180913.0
High income,HIC,2000,147515682.0
IBRD only,IBD,2000,78803790.0
IDA & IBRD total,IBT,2000,82068088.0
Low & middle income,LMY,2000,76584296.0
Late-demographic dividend,LTE,2000,67353110.0
Middle income,MIC,2000,76336119.0
Upper middle income,UMC,2000,64693589.0
World,WLD,2000,224774536.0
East Asia & Pacific (excluding high income),EAP,2001,62621336.0
East Asia & Pacific,EAS,2001,115948099.0
High income,HIC,2001,150463844.0
IBRD only,IBD,2001,85755801.0
IDA & IBRD total,IBT,2001,90175158.0
Low & middle income,LMY,2001,83687495.0
Late-demographic dividend,LTE,2001,74646701.0
Middle income,MIC,2001,83310128.0
Upper middle income,UMC,2001,69766760.0
World,WLD,2001,235075458.0
East Asia & Pacific (excluding high income),EAP,2002,77904818.0
East Asia & Pacific,EAS,2002,137479148.0
High income,HIC,2002,162812763.0
IBRD only,IBD,2002,101601201.0
IDA & IBRD total,IBT,2002,104943041.0
Low & middle income,LMY,2002,100643748.0
Late-demographic dividend,LTE,2002,90018938.0
Middle income,MIC,2002,100643748.0
Upper middle income,UMC,2002,87660698.0
World,WLD,2002,263456511.0
East Asia & Pacific (excluding high income),EAP,2003,86891558.0
East Asia & Pacific,EAS,2003,151803542.0
High income,HIC,2003,180811675.0
IBRD only,IBD,2003,116840825.0
IDA & IBRD total,IBT,2003,121884489.0
Low & middle income,LMY,2003,115601686.0
Late-demographic dividend,LTE,2003,103950686.0
Middle income,MIC,2003,115601686.0
Upper middle income,UMC,2003,99170719.0
World,WLD,2003,296996130.0
East Asia & Pacific (excluding high income),EAP,2004,102402184.0
East Asia & Pacific,EAS,2004,174201309.0
High income,HIC,2004,201020057.0
IBRD only,IBD,2004,138540024.0
IDA & IBRD total,IBT,2004,144482441.0
Low & middle income,LMY,2004,136492488.0
Late-demographic dividend,LTE,2004,123020191.0
Middle income,MIC,2004,136492488.0
Upper middle income,UMC,2004,116747119.0
World,WLD,2004,338433750.0
East Asia & Pacific (excluding high income),EAP,2005,96232448.0
East Asia & Pacific,EAS,2005,193780272.0
High income,HIC,2005,240902489.0
IBRD only,IBD,2005,137430315.0
IDA & IBRD total,IBT,2005,143643904.0
Low & middle income,LMY,2005,134245165.0
Late-demographic dividend,LTE,2005,120417203.0
Middle income,MIC,2005,134245165.0
Upper middle income,UMC,2005,112847324.0
World,WLD,2005,376268146.0
East Asia & Pacific (excluding high income),EAP,2006,114796121.0
East Asia & Pacific,EAS,2006,217761320.0
High income,HIC,2006,255778900.0
IBRD only,IBD,2006,164620199.0
IDA & IBRD total,IBT,2006,170377798.0
Low & middle income,LMY,2006,159706254.0
Late-demographic dividend,LTE,2006,145336126.0
Middle income,MIC,2006,159706254.0
Upper middle income,UMC,2006,135164293.0
World,WLD,2006,416751971.0
Bulgaria,BGR,2007,130694.0
Barbados,BRB,2007,99626.0
Cuba,CUB,2007,319857.0
Cayman Islands,CYM,2007,649.0
East Asia & Pacific (excluding high income),EAP,2007,140639995.0
East Asia & Pacific,EAS,2007,252296411.0
High income,HIC,2007,290668162.0
IBRD only,IBD,2007,200086288.0
IDA & IBRD total,IBT,2007,213216493.0
Low & middle income,LMY,2007,197818436.0
Late-demographic dividend,LTE,2007,178605554.0
Middle income,MIC,2007,195843001.0
Namibia,NAM,2007,148234.0
Nicaragua,NIC,2007,61007.0
El Salvador,SLV,2007,144458.0
Upper middle income,UMC,2007,161960218.0
World,WLD,2007,489818309.0
Bulgaria,BGR,2008,203253.0
Barbados,BRB,2008,87255.0
Cuba,CUB,2008,319000.0
Cayman Islands,CYM,2008,36644.0
East Asia & Pacific (excluding high income),EAP,2008,155725485.3104
East Asia & Pacific,EAS,2008,269311779.7
High income,HIC,2008,294087716.7856
IBRD only,IBD,2008,223864345.9888
IDA & IBRD total,IBT,2008,238377801.0832
Low & middle income,LMY,2008,220739422.288
Late-demographic dividend,LTE,2008,196030004.7776
Middle income,MIC,2008,218577903.3672
Namibia,NAM,2008,183605.0
Nicaragua,NIC,2008,63030.0
El Salvador,SLV,2008,156323.0
Upper middle income,UMC,2008,180795607.1936
World,WLD,2008,516152333.0736
Bulgaria,BGR,2009,136444.0
Barbados,BRB,2009,75015.0
Cuba,CUB,2009,290098.6
Cayman Islands,CYM,2009,44215.0
East Asia & Pacific (excluding high income),EAP,2009,147752713.767078
East Asia & Pacific,EAS,2009,247674210.41178
High income,HIC,2009,259873546.169306
IBRD only,IBD,2009,211234225.6313
IDA & IBRD total,IBT,2009,225500806.411747
Low & middle income,LMY,2009,211061327.574992
Late-demographic dividend,LTE,2009,184240015.058549
Middle income,MIC,2009,208953467.110417
